gm_code,gm_naam,jaar,lbm,afw,fys,onv,soc,vrz,won
GM0784,Gilze en Rijen,2022,4.053109409283628,-0.04915544186005664,-2.0713690081943458e-4,0.016490931779117268,0.016329740767641005,-0.10344580361615155,0.02167682611015582
GM0785,Goirle,2002,4.089305643010661,-0.012959208133024593,NA,NA,NA,NA,NA
GM0785,Goirle,2008,4.099074606213763,-0.003190244929922422,NA,NA,NA,NA,NA
GM0785,Goirle,2012,4.144190591853801,0.04192574071011552,NA,NA,NA,NA,NA
GM0785,Goirle,2014,4.137119187514789,0.034854336371103245,-0.010876670936350542,0.038685578559300424,0.023642154702023722,-0.033107444291084524,0.01651071833721391
GM0785,Goirle,2016,4.16523711643803,0.06297226529434516,NA,NA,NA,NA,NA
GM0785,Goirle,2018,4.174906112601113,0.07264126145742761,-0.006997183807773268,0.06458139651786655,0.02821420965761062,-0.0362805033011008,0.023123342390824236
GM0785,Goirle,2020,4.194068261712653,0.09180341056896776,-0.002772593974642963,0.0646270487037297,0.02781622491646546,-0.021764515731177853,0.02389724665459316
GM0785,Goirle,2022,4.194133601998004,0.09186875085431909,0.0017175261498766454,0.05984977942805763,0.025740437914086527,-0.02837772971176389,0.032938737074061884
GM0794,Helmond,2002,3.963307135306925,-0.13895771583676006,NA,NA,NA,NA,NA
GM0794,Helmond,2008,3.9925365212623016,-0.1097283298813838,NA,NA,NA,NA,NA
GM0794,Helmond,2012,4.013558481853232,-0.0887063692904534,NA,NA,NA,NA,NA
GM0794,Helmond,2014,3.9930538000807307,-0.10921105106295462,-0.02458889811799829,-0.03151306489915945,-0.005405252883353848,-0.03390458308568379,-0.01379925207675953
GM0794,Helmond,2016,3.9924967088442735,-0.10976814229941162,NA,NA,NA,NA,NA
GM0794,Helmond,2018,4.001939127472819,-0.10032572367086609,-0.02221903748312215,-0.030778170695835577,-0.008481282856080765,-0.030411149134737095,-0.008436083501090779
GM0794,Helmond,2020,4.01031312964885,-0.0919517214948359,-0.018468238073429104,-0.039593309414636006,-0.010083649287890165,-0.018509145477311126,-0.005297379241569764
GM0794,Helmond,2022,4.0143227560126995,-0.08794209513098589,-0.013684926873050394,-0.036249190906279906,-0.008693621273801707,-0.027311043435824724,-0.002003312642029425
GM0796,'s-Hertogenbosch,2002,3.972505984503213,-0.1297588666404723,NA,NA,NA,NA,NA
GM0796,'s-Hertogenbosch,2008,4.002899572893555,-0.09936527825012959,NA,NA,NA,NA,NA
GM0796,'s-Hertogenbosch,2012,4.01764403642815,-0.08462081471553563,NA,NA,NA,NA,NA
GM0796,'s-Hertogenbosch,2014,4.054724657351727,-0.04754019379195765,-0.023168421494466157,-0.04382348686070298,-0.006500062902033629,0.04104429690329407,-0.015092519438049233
GM0796,'s-Hertogenbosch,2016,4.092916806956271,-0.009348044187413338,NA,NA,NA,NA,NA
GM0796,'s-Hertogenbosch,2018,4.101404113249317,-8.607378943677211e-4,-0.02159522367170703,-0.018021266659610645,-0.007528340514999097,0.0424799700586201,0.0038041228933286737
GM0796,'s-Hertogenbosch,2020,4.117856662472085,0.015591811328399681,-0.01528296217750433,-0.016820642208226995,-0.008310468331499163,0.050058368903864024,0.005947515141765875
GM0796,'s-Hertogenbosch,2022,4.1180288600562855,0.01576400891260079,-0.014731074089633887,-0.014473303588814402,-0.008582730808438526,0.044070170012867074,0.009480947386620253
GM0797,Heusden,2002,4.077722834991471,-0.02454201615221468,NA,NA,NA,NA,NA
GM0797,Heusden,2008,4.092624630585475,-0.009640220558210143,NA,NA,NA,NA,NA
GM0797,Heusden,2012,4.10941585109291,0.00715099994922469,NA,NA,NA,NA,NA
GM0797,Heusden,2014,4.11126453965507,0.008999688511384442,-0.015738127293797168,0.025520933024178197,0.019470358011761044,-0.044764992637957995,0.024511517407200107
GM0797,Heusden,2016,4.150884187647108,0.04861933650342316,NA,NA,NA,NA,NA
GM0797,Heusden,2018,4.146715597668723,0.04445074652503746,-0.012806199594805263,0.04459439422275692,0.019542979976139987,-0.03370851791217067,0.026828089833116218
GM0797,Heusden,2020,4.16233085732172,0.06006600617803507,-0.009401607245784593,0.05331889235994302,0.020612713534826715,-0.03272735750308081,0.028263365032130464
GM0797,Heusden,2022,4.125073809677539,0.022808958533853983,-0.007391593744392544,0.03031714742919571,0.0181880851428396,-0.04378172363232988,0.025477043338540818
GM0798,Hilvarenbeek,2002,4.166255863800671,0.06399101265698513,NA,NA,NA,NA,NA
GM0798,Hilvarenbeek,2008,4.165377408871511,0.06311255772782555,NA,NA,NA,NA,NA
GM0798,Hilvarenbeek,2012,4.19039389886086,0.0881290477171748,NA,NA,NA,NA,NA
GM0798,Hilvarenbeek,2014,4.172608444258403,0.07034359311471793,-0.010455650907458524,0.06296528670828869,0.06351128845045978,-0.09572480882527624,0.05004747768870398
GM0798,Hilvarenbeek,2016,4.138224570200753,0.03595971905706821,NA,NA,NA,NA,NA
GM0798,Hilvarenbeek,2018,4.196957341564809,0.09469249042112345,-9.49016553826358e-4,0.07716578471258789,0.06029451289120606,-0.09084777151082837,0.04902898088198394
GM0798,Hilvarenbeek,2020,4.201235497754588,0.09897064661090296,-0.004029183914092452,0.08579870848681882,0.05671498721434239,-0.0887224445240638,0.049208579347897706
GM0798,Hilvarenbeek,2022,4.214932798926176,0.11266794778249022,-0.0013737224321932044,0.09893356443535739,0.05522531575858948,-0.09057444840813905,0.05045723842887535
GM0809,Loon op Zand,2002,4.078678625284624,-0.023586225859061095,NA,NA,NA,NA,NA
GM0809,Loon op Zand,2008,4.069902291193485,-0.032362559950199675,NA,NA,NA,NA,NA
GM0809,Loon op Zand,2012,4.071717372883332,-0.030547478260353752,NA,NA,NA,NA,NA
GM0809,Loon op Zand,2014,4.0849928158149496,-0.017272035328735152,-0.0010435251500716194,0.014426180804483029,0.01962232310382008,-0.06831884899634774,0.01804183490938083
GM0809,Loon op Zand,2016,4.136285846425259,0.034020995281573964,NA,NA,NA,NA,NA
