"ID";"RegioS";"Perioden";"GemiddeldeVerkoopprijs_1"
"1072";"GM0142";"2023JJ00";""
"1073";"GM1679";"1995JJ00";"   97791"
"1074";"GM1679";"1996JJ00";"  110575"
"1075";"GM1679";"1997JJ00";"  115704"
"1076";"GM1679";"1998JJ00";"  136267"
"1077";"GM1679";"1999JJ00";"  140353"
"1078";"GM1679";"2000JJ00";"  169937"
"1079";"GM1679";"2001JJ00";"  170463"
"1080";"GM1679";"2002JJ00";"  185087"
"1081";"GM1679";"2003JJ00";"  185826"
"1082";"GM1679";"2004JJ00";"  188546"
"1083";"GM1679";"2005JJ00";"  186751"
"1084";"GM1679";"2006JJ00";"  186527"
"1085";"GM1679";"2007JJ00";""
"1086";"GM1679";"2008JJ00";""
"1087";"GM1679";"2009JJ00";""
"1088";"GM1679";"2010JJ00";""
"1089";"GM1679";"2011JJ00";""
"1090";"GM1679";"2012JJ00";""
"1091";"GM1679";"2013JJ00";""
"1092";"GM1679";"2014JJ00";""
"1093";"GM1679";"2015JJ00";""
"1094";"GM1679";"2016JJ00";""
"1095";"GM1679";"2017JJ00";""
"1096";"GM1679";"2018JJ00";""
"1097";"GM1679";"2019JJ00";""
"1098";"GM1679";"2020JJ00";""
"1099";"GM1679";"2021JJ00";""
"1100";"GM1679";"2022JJ00";""
"1101";"GM1679";"2023JJ00";""
"1102";"GM0060";"1995JJ00";"   88893"
"1103";"GM0060";"1996JJ00";"   74560"
"1104";"GM0060";"1997JJ00";"   91752"
"1105";"GM0060";"1998JJ00";"  108159"
"1106";"GM0060";"1999JJ00";"  118170"
"1107";"GM0060";"2000JJ00";"  161227"
"1108";"GM0060";"2001JJ00";"  135235"
"1109";"GM0060";"2002JJ00";"  159701"
"1110";"GM0060";"2003JJ00";"  159645"
"1111";"GM0060";"2004JJ00";"  174771"
"1112";"GM0060";"2005JJ00";"  206699"
"1113";"GM0060";"2006JJ00";"  190249"
"1114";"GM0060";"2007JJ00";"  207912"
"1115";"GM0060";"2008JJ00";"  210325"
"1116";"GM0060";"2009JJ00";"  198673"
"1117";"GM0060";"2010JJ00";"  207460"
"1118";"GM0060";"2011JJ00";"  204085"
"1119";"GM0060";"2012JJ00";"  181521"
"1120";"GM0060";"2013JJ00";"  215026"
"1121";"GM0060";"2014JJ00";"  198338"
"1122";"GM0060";"2015JJ00";"  178284"
