Regio's,Onderwerp,,2019,2020,2021,2022,2023
Heemstede,Gemiddelde verkoopprijs,euro,626574,647455,694937,805009,708279
Heerde,Gemiddelde verkoopprijs,euro,327509,352913,404432,487890,479099
Heerenveen,Gemiddelde verkoopprijs,euro,257836,286218,317736,358246,362420
Heerewaarden,Gemiddelde verkoopprijs,euro,,,,,
Heerhugowaard,Gemiddelde verkoopprijs,euro,283079,300434,323983,,
Heerjansdam,Gemiddelde verkoopprijs,euro,,,,,
Heerlen,Gemiddelde verkoopprijs,euro,182279,202356,230616,251269,246595
Heesch,Gemiddelde verkoopprijs,euro,,,,,
Heeze,Gemiddelde verkoopprijs,euro,,,,,
Heeze-Leende,Gemiddelde verkoopprijs,euro,353329,393230,433505,404584,482660
Heiloo,Gemiddelde verkoopprijs,euro,388752,439156,558472,561046,555327
Heino,Gemiddelde verkoopprijs,euro,,,,,
Helden,Gemiddelde verkoopprijs,euro,,,,,
Den Helder,Gemiddelde verkoopprijs,euro,175079,195946,225902,270723,262913
Hellendoorn,Gemiddelde verkoopprijs,euro,270821,307962,334791,382052,378769
Hellevoetsluis,Gemiddelde verkoopprijs,euro,268772,287915,306338,363119,
Helmond,Gemiddelde verkoopprijs,euro,286812,305792,339835,382110,389050
Helvoirt,Gemiddelde verkoopprijs,euro,,,,,
Hendrik-Ido-Ambacht,Gemiddelde verkoopprijs,euro,319455,348122,380186,429593,413446
Hengelo (Gld.),Gemiddelde verkoopprijs,euro,,,,,
Hengelo (O.),Gemiddelde verkoopprijs,euro,233423,249108,289151,324423,323659
's-Hertogenbosch,Gemiddelde verkoopprijs,euro,333172,371124,412222,463836,443955
Heteren,Gemiddelde verkoopprijs,euro,,,,,
Heumen,Gemiddelde verkoopprijs,euro,362576,371889,403251,463793,436401
Heusden,Gemiddelde verkoopprijs,euro,330920,371950,411890,473782,445212
Heythuysen,Gemiddelde verkoopprijs,euro,,,,,
Hillegom,Gemiddelde verkoopprijs,euro,329777,324741,392555,478292,428285
Hilvarenbeek,Gemiddelde verkoopprijs,euro,362634,403876,474617,541379,520360
Hilversum,Gemiddelde verkoopprijs,euro,404786,440080,521263,524216,505257
Hoeksche Waard,Gemiddelde verkoopprijs,euro,297347,329804,364756,403746,405396
Hoevelaken,Gemiddelde verkoopprijs,euro,,,,,
Hoeven,Gemiddelde verkoopprijs,euro,,,,,
Hof van Twente,Gemiddelde verkoopprijs,euro,274670,299266,354722,383248,396306
Het Hogeland,Gemiddelde verkoopprijs,euro,188784,200484,251832,286572,285779
Hollands Kroon,Gemiddelde verkoopprijs,euro,257549,256800,302564,366867,379619
Holten,Gemiddelde verkoopprijs,euro,,,,,
Hontenisse,Gemiddelde verkoopprijs,euro,,,,,
Hooge en Lage Mierde,Gemiddelde verkoopprijs,euro,,,,,
Hooge en Lage Zwaluwe,Gemiddelde verkoopprijs,euro,,,,,
"Hoogeloon, Hapert en Casteren",Gemiddelde verkoopprijs,euro,,,,,
Hoogeveen,Gemiddelde verkoopprijs,euro,209654,232875,272291,311475,307248
Hoogezand-Sappemeer,Gemiddelde verkoopprijs,euro,,,,,
