"ID";"LeeftijdReferentiepersoon";"RegioS";"Perioden";"TotaalParticuliereHuishoudens_21"
"1675";"10000";"GM0483";"2000JJ00";"5412"
"1676";"10000";"GM0483";"2001JJ00";"5418"
"1677";"10000";"GM0483";"2002JJ00";"5421"
"1678";"10000";"GM0483";"2003JJ00";"5443"
"1679";"10000";"GM0483";"2004JJ00";"5513"
"1680";"10000";"GM0483";"2005JJ00";"5527"
"1681";"10000";"GM0483";"2006JJ00";"5566"
"1682";"10000";"GM0483";"2007JJ00";"5630"
"1683";"10000";"GM0483";"2008JJ00";"5633"
"1684";"10000";"GM0483";"2009JJ00";
"1685";"10000";"GM0483";"2010JJ00";
"1686";"10000";"GM0483";"2011JJ00";
"1687";"10000";"GM0483";"2012JJ00";
"1688";"10000";"GM0483";"2013JJ00";
"1689";"10000";"GM0483";"2014JJ00";
"1690";"10000";"GM0483";"2015JJ00";
"1691";"10000";"GM0483";"2016JJ00";
"1692";"10000";"GM0483";"2017JJ00";
"1693";"10000";"GM0483";"2018JJ00";
"1694";"10000";"GM0483";"2019JJ00";
"1695";"10000";"GM0483";"2020JJ00";
"1696";"10000";"GM0483";"2021JJ00";
"1697";"10000";"GM0483";"2022JJ00";
"1698";"10000";"GM0483";"2023JJ00";
"1699";"10000";"GM0483";"2024JJ00";
"1700";"10000";"GM0361";"2000JJ00";"41507"
"1701";"10000";"GM0361";"2001JJ00";"41598"
"1702";"10000";"GM0361";"2002JJ00";"41727"
"1703";"10000";"GM0361";"2003JJ00";"42107"
"1704";"10000";"GM0361";"2004JJ00";"42676"
"1705";"10000";"GM0361";"2005JJ00";"43039"
"1706";"10000";"GM0361";"2006JJ00";"43564"
"1707";"10000";"GM0361";"2007JJ00";"43620"
"1708";"10000";"GM0361";"2008JJ00";"43831"
"1709";"10000";"GM0361";"2009JJ00";"43832"
"1710";"10000";"GM0361";"2010JJ00";"44176"
"1711";"10000";"GM0361";"2011JJ00";"44304"
"1712";"10000";"GM0361";"2012JJ00";"44679"
"1713";"10000";"GM0361";"2013JJ00";"44891"
"1714";"10000";"GM0361";"2014JJ00";"44901"
"1715";"10000";"GM0361";"2015JJ00";"50002"
"1716";"10000";"GM0361";"2016JJ00";"50431"
"1717";"10000";"GM0361";"2017JJ00";"50917"
"1718";"10000";"GM0361";"2018JJ00";"51225"
