"ID";"EigenaarHuurder";"HuishoudensEnWoningkenmerken";"RegioS";"Perioden";"TotaleWoonlasten_2";"Woonquote_5"
"61737";"A025403";"T001139";"GM0753";"2020JJ00";"     925";"    20.5"
"61738";"A025403";"T001139";"GM0753";"2021JJ00";"     914";"    19.8"
"61739";"A025403";"T001139";"GM0753";"2022JJ00";"     863";"    17.9"
"61740";"A025403";"T001139";"GM0209";"2018JJ00";"     907";"    22.8"
"61741";"A025403";"T001139";"GM0209";"2019JJ00";"     931";"    22.2"
"61742";"A025403";"T001139";"GM0209";"2020JJ00";"     940";"    21.3"
"61743";"A025403";"T001139";"GM0209";"2021JJ00";"     925";"    20.7"
"61744";"A025403";"T001139";"GM0209";"2022JJ00";"     878";"    18.9"
"61745";"A025403";"T001139";"GM0375";"2018JJ00";"     873";"    22.9"
"61746";"A025403";"T001139";"GM0375";"2019JJ00";"     889";"    22.4"
"61747";"A025403";"T001139";"GM0375";"2020JJ00";"     885";"    21.4"
"61748";"A025403";"T001139";"GM0375";"2021JJ00";"     878";"    20.8"
"61749";"A025403";"T001139";"GM0375";"2022JJ00";"     835";"    18.6"
"61750";"A025403";"T001139";"GM0585";"2018JJ00";"     890";"    21.3"
"61751";"A025403";"T001139";"GM0585";"2019JJ00";"";"       ."
"61752";"A025403";"T001139";"GM0585";"2020JJ00";"";"       ."
"61753";"A025403";"T001139";"GM0585";"2021JJ00";"";"       ."
"61754";"A025403";"T001139";"GM0585";"2022JJ00";"";"       ."
"61755";"A025403";"T001139";"GM1728";"2018JJ00";"     851";"    22.4"
"61756";"A025403";"T001139";"GM1728";"2019JJ00";"     865";"    21.7"
"61757";"A025403";"T001139";"GM1728";"2020JJ00";"     851";"    20.5"
"61758";"A025403";"T001139";"GM1728";"2021JJ00";"     865";"    20.1"
"61759";"A025403";"T001139";"GM1728";"2022JJ00";"     801";"    18.0"
"61760";"A025403";"T001139";"GM0376";"2018JJ00";"    1613";"    26.9"
"61761";"A025403";"T001139";"GM0376";"2019JJ00";"    1544";"    25.0"
"61762";"A025403";"T001139";"GM0376";"2020JJ00";"    1534";"    25.1"
"61763";"A025403";"T001139";"GM0376";"2021JJ00";"    1612";"    24.1"
"61764";"A025403";"T001139";"GM0376";"2022JJ00";"    1320";"    21.2"
"61765";"A025403";"T001139";"GM0495";"2018JJ00";"";"       ."
"61766";"A025403";"T001139";"GM0495";"2019JJ00";"";"       ."
"61767";"A025403";"T001139";"GM0495";"2020JJ00";"";"       ."
"61768";"A025403";"T001139";"GM0495";"2021JJ00";"";"       ."
"61769";"A025403";"T001139";"GM0495";"2022JJ00";"";"       ."
"61770";"A025403";"T001139";"GM0377";"2018JJ00";"    1549";"    25.3"
"61771";"A025403";"T001139";"GM0377";"2019JJ00";"    1588";"    24.3"
"61772";"A025403";"T001139";"GM0377";"2020JJ00";"    1533";"    24.3"
"61773";"A025403";"T001139";"GM0377";"2021JJ00";"    1562";"    23.9"
"61774";"A025403";"T001139";"GM0377";"2022JJ00";"    1399";"    21.7"
"61775";"A025403";"T001139";"GM1901";"2018JJ00";"     964";"    22.3"
"61776";"A025403";"T001139";"GM1901";"2019JJ00";"     970";"    21.6"
"61777";"A025403";"T001139";"GM1901";"2020JJ00";"     968";"    20.5"
"61778";"A025403";"T001139";"GM1901";"2021JJ00";"     961";"    20.3"
"61779";"A025403";"T001139";"GM1901";"2022JJ00";"     883";"    17.9"
"61780";"A025403";"T001139";"GM0755";"2018JJ00";"     821";"    21.6"
"61781";"A025403";"T001139";"GM0755";"2019JJ00";"     855";"    21.5"
"61782";"A025403";"T001139";"GM0755";"2020JJ00";"     842";"    20.3"
"61783";"A025403";"T001139";"GM0755";"2021JJ00";"     859";"    20.1"
"61784";"A025403";"T001139";"GM0755";"2022JJ00";"     821";"    18.6"
"61785";"A025403";"T001139";"GM1681";"2018JJ00";"     836";"    23.9"
"61786";"A025403";"T001139";"GM1681";"2019JJ00";"     850";"    23.4"
"61787";"A025403";"T001139";"GM1681";"2020JJ00";"     829";"    22.1"
"61788";"A025403";"T001139";"GM1681";"2021JJ00";"     863";"    22.2"
"61789";"A025403";"T001139";"GM1681";"2022JJ00";"     814";"    20.2"
"61790";"A025403";"T001139";"GM0147";"2018JJ00";"     919";"    22.6"
"61791";"A025403";"T001139";"GM0147";"2019JJ00";"     926";"    22.2"
"61792";"A025403";"T001139";"GM0147";"2020JJ00";"     932";"    21.5"
"61793";"A025403";"T001139";"GM0147";"2021JJ00";"     956";"    21.2"
"61794";"A025403";"T001139";"GM0147";"2022JJ00";"     889";"    19.0"
"61795";"A025403";"T001139";"GM0654";"2018JJ00";"     820";"    22.4"
"61796";"A025403";"T001139";"GM0654";"2019JJ00";"     830";"    21.7"
"61797";"A025403";"T001139";"GM0654";"2020JJ00";"     814";"    20.2"
"61798";"A025403";"T001139";"GM0654";"2021JJ00";"     831";"    20.3"
"61799";"A025403";"T001139";"GM0654";"2022JJ00";"     781";"    18.2"
"61800";"A025403";"T001139";"GM0756";"2018JJ00";"     870";"    21.6"
"61801";"A025403";"T001139";"GM0756";"2019JJ00";"     848";"    21.0"
"61802";"A025403";"T001139";"GM0756";"2020JJ00";"     829";"    19.8"
"61803";"A025403";"T001139";"GM0756";"2021JJ00";"     833";"    19.5"
"61804";"A025403";"T001139";"GM0756";"2022JJ00";"";"       ."
"61805";"A025403";"T001139";"GM0757";"2018JJ00";"     878";"    22.2"
"61806";"A025403";"T001139";"GM0757";"2019JJ00";"     905";"    21.8"
"61807";"A025403";"T001139";"GM0757";"2020JJ00";"     890";"    20.7"
"61808";"A025403";"T001139";"GM0757";"2021JJ00";"     922";"    20.4"
"61809";"A025403";"T001139";"GM0757";"2022JJ00";"     857";"    18.4"
"61810";"A025403";"T001139";"GM0758";"2018JJ00";"     981";"    23.2"
"61811";"A025403";"T001139";"GM0758";"2019JJ00";"     992";"    22.5"
"61812";"A025403";"T001139";"GM0758";"2020JJ00";"     983";"    21.4"
"61813";"A025403";"T001139";"GM0758";"2021JJ00";"    1005";"    21.1"
"61814";"A025403";"T001139";"GM0758";"2022JJ00";"     915";"    18.7"
"61815";"A025403";"T001139";"GM0501";"2018JJ00";"     896";"    21.2"
"61816";"A025403";"T001139";"GM0501";"2019JJ00";"     915";"    20.8"
"61817";"A025403";"T001139";"GM0501";"2020JJ00";"     911";"    20.0"
"61818";"A025403";"T001139";"GM0501";"2021JJ00";"     928";"    19.8"
"61819";"A025403";"T001139";"GM0501";"2022JJ00";"     853";"    17.6"
"61820";"A025403";"T001139";"GM1876";"2018JJ00";"     849";"    23.0"
"61821";"A025403";"T001139";"GM1876";"2019JJ00";"     860";"    22.4"
"61822";"A025403";"T001139";"GM1876";"2020JJ00";"     849";"    21.3"
"61823";"A025403";"T001139";"GM1876";"2021JJ00";"     873";"    21.3"
"61824";"A025403";"T001139";"GM1876";"2022JJ00";"     832";"    19.5"
"61825";"A025403";"T001139";"GM0213";"2018JJ00";"     886";"    22.2"
"61826";"A025403";"T001139";"GM0213";"2019JJ00";"     894";"    21.5"
"61827";"A025403";"T001139";"GM0213";"2020JJ00";"     899";"    20.8"
"61828";"A025403";"T001139";"GM0213";"2021JJ00";"     917";"    20.6"
"61829";"A025403";"T001139";"GM0213";"2022JJ00";"     887";"    18.6"
"61830";"A025403";"T001139";"GM0899";"2018JJ00";"     742";"    23.5"
"61831";"A025403";"T001139";"GM0899";"2019JJ00";"     778";"    23.2"
"61832";"A025403";"T001139";"GM0899";"2020JJ00";"     751";"    21.8"
"61833";"A025403";"T001139";"GM0899";"2021JJ00";"     770";"    21.9"
"61834";"A025403";"T001139";"GM0899";"2022JJ00";"     730";"    19.9"
"61835";"A025403";"T001139";"GM0312";"2018JJ00";"     944";"    21.3"
"61836";"A025403";"T001139";"GM0312";"2019JJ00";"     954";"    20.5"
